"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"HYGA","","HYGA","Hypericum galioides","bedstraw St. Johnswort","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Moderate","2","2.5","Short","Semi-Erect","None","No","Yes","No","None","High","4.6","7.2","10","Intolerant","-3","Early Summer","Routinely Available","Yes","Low","No"
"HYHI2","","HYHI2","Hypoxis hirsuta","common goldstar","NA (L48, CAN)","Monocot","Spring","Yellow","Green","Black","Single Crown","Moderate","","0.8","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.2","7.3","7","Intermediate","-33","Early Spring","Routinely Available","No","Medium","No"
"ILAM2","","ILAM2","Ilex amelanchier","sarvis holly","NA (L48)","Dicot","Spring","Yellow","Green","Red","Multiple Stem","Slow","16","16","Long","Erect","Slight","Yes","Yes","No","Medium","Medium","3.5","6.5","12","Tolerant","12","Mid Spring","Routinely Available","Yes","Medium","No"
"ILCA","","ILCA","Ilex cassine","dahoon","NA (L48), HI, PR","Dicot","Spring and Summer","Yellow","Dark Green","Red","Single Stem","Moderate","26","26","Short","Erect","Slight","Yes","Yes","Yes","Low","High","3.5","6.5","12","Tolerant","12","Spring","Routinely Available","Yes","Low","No"
"ILCO","","ILCO","Ilex coriacea","large gallberry","NA (L48)","Dicot","Spring and Summer","White","Dark Green","Black","Thicket Forming","Moderate","12","12","Moderate","Erect","None","No","Yes","Yes","Low","High","5.5","6.7","16","Tolerant","7","Late Spring","Routinely Available","Yes","Medium","No"
"ILCO80","","ILCO80","Ilex cornuta","Chinese holly","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Moderate","8","8.0","Moderate","Irregular","None","Yes","Yes","No","Medium","Medium","4.5","5.5","18","Intolerant","-23","Early Spring","Routinely Available","Yes","Low","No"
"ILCR2","","ILCR2","Ilex crenata","Japanese holly","NA (L48)","Dicot","Spring and Summer","Yellow","Dark Green","Black","Multiple Stem","Slow","4","10","Long","Decumbent","None","Yes","Yes","No","Medium","Medium","4.5","5.5","10","Tolerant","-13","Mid Spring","Routinely Available","Yes","Low","No"
"ILDE","","ILDE","Ilex decidua","possumhaw","NA (L48)","Dicot","Spring and Summer","Yellow","Dark Green","Red","Multiple Stem","Rapid","33","33","Moderate","Erect","Slight","Yes","Yes","Yes","Medium","Medium","3.5","6.5","12","Tolerant","-18","Spring","Routinely Available","Yes","High","No"
"ILGL","","ILGL","Ilex glabra","inkberry","NA (L48, CAN)","Dicot","Summer and Fall","White","Green","Black","Multiple Stem","Slow","5","8.0","Long","Erect","None","Yes","Yes","Yes","Low","High","4.5","7.0","16","Intolerant","-13","Spring","Routinely Available","Yes","Low","No"
"ILOP","","ILOP","Ilex opaca","American holly","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Red","Single Stem","Slow","20","40","Moderate","Erect","None","Yes","Yes","No","Medium","Medium","4.5","7.0","30","Tolerant","-20","Mid Spring","Routinely Available","Yes","Low","No"
"ILVE","","ILVE","Ilex verticillata","common winterberry","NA (L48, CAN, SPM)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Moderate","6","10","Moderate","Climbing","None","No","Yes","Yes","Low","High","4.5","7.5","16","Intermediate","-28","Late Spring","Routinely Available","Yes","Low","No"
"ILVO","","ILVO","Ilex vomitoria","yaupon","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Slow","20","25","Long","Erect","None","Yes","Yes","No","High","Low","4.5","7.0","20","Intermediate","7","Mid Spring","Routinely Available","Yes","Low","No"
"IMCA","","IMCA","Impatiens capensis","jewelweed","NA (L48, CAN, SPM)","Dicot","Summer","Yellow","Green","Brown","Single Crown","Rapid","","4.9","","Erect","None","Yes","Yes","Yes","Low","Medium","6.4","7.4","14","Tolerant","32","Indeterminate","Routinely Available","No","High","No"
"IMPA","","IMPA","Impatiens pallida","pale touch-me-not","NA (L48, CAN)","Dicot","Summer","Yellow","Green","Brown","Single Crown","Rapid","","8.2","","Erect","None","Yes","Yes","Yes","Low","Medium","6.8","7.4","14","Tolerant","32","Indeterminate","Routinely Available","No","High","No"
"IPPE","","IPPE","Ipomoea pes-caprae","bayhops","NA (L48), HI, PR, VI","Dicot","Year Round","Red","Green","Green","Single Stem","Moderate","","1.0","Long","Prostrate","None","Yes","Yes","No","Medium","Medium","6.0","7.5","24","Intermediate","17","Indeterminate","Routinely Available","Yes","Medium","No"
"IPAGA3","","IPAGA3","Ipomopsis aggregata ssp. aggregata","scarlet gilia","NA (L48, CAN)","Dicot","Summer","Red","Green","","Single Stem","Rapid","","3.0","Moderate","Erect","None","Yes","Yes","Yes","High","Low","7.0","8.5","6","Intolerant","-18","Late Spring","Routinely Available","No","High","No"
"IRFU","","IRFU","Iris fulva","copper iris","NA (L48)","Monocot","Spring","Red","Green","Green","Rhizomatous","Moderate","","3.3","Moderate","Erect","None","No","Yes","Yes","Low","High","5.0","8.5","16","Tolerant","-24","Mid Spring","Routinely Available","No","High","No"
"IRMI","","IRMI","Iris missouriensis","Rocky Mountain iris","NA (L48, CAN)","Monocot","Summer","Purple","Green","Black","Colonizing","Rapid","","1.0","Short","Erect","None","Yes","Yes","Yes","Low","High","7.0","8.5","6","Intermediate","-28","Spring","Routinely Available","No","High","No"
"IRVI","","IRVI","Iris virginica","Virginia iris","NA (L48, CAN)","Monocot","Spring","Blue","Green","Black","Rhizomatous","Moderate","","3.3","Moderate","Erect","None","No","Yes","Yes","None","High","4.8","7.3","6","Tolerant","12","Spring","Routinely Available","No","Medium","No"
"ITVI","","ITVI","Itea virginica","Virginia sweetspire","NA (L48)","Dicot","Spring","White","Green","Brown","Stoloniferous","Slow","10","10","Short","Erect","None","No","Yes","Yes","Low","High","4.0","7.5","14","Tolerant","-24","Mid Spring","Routinely Available","Yes","Medium","No"
"IVFR","","IVFR","Iva frutescens","Jesuit's bark","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","White","Multiple Stem","Moderate","9","9.0","Long","Vase","None","Yes","Yes","Yes","Low","High","5.0","5.7","16","Intolerant","2","Late Summer","Routinely Available","Yes","Low","No"
"JAOVS","","JAOVS","Jacquemontia ovalifolia ssp. sandwicensis","oval-leaf clustervine","HI","Dicot","Year Round","Purple","Green","Brown","Single Stem","Moderate","","0.5","Moderate","Prostrate","None","Yes","Yes","Yes","High","Medium","6.0","7.5","24","Intermediate","50","Indeterminate","Routinely Available","Yes","Medium","No"
"JUCI","","JUCI","Juglans cinerea","butternut","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Rapid","20","80","Short","Erect","Slight","Yes","Yes","No","Low","Medium","6.0","7.0","40","Intolerant","-33","Late Spring","Routinely Available","Yes","High","Yes"
"JUMI","","JUMI","Juglans microcarpa","little walnut","NA (L48)","Dicot","Spring and Summer","Green","Green","Black","Single Stem","Slow","20","20","Long","Erect","Slight","Yes","Yes","Yes","Medium","Medium","5.5","6.9","24","Intolerant","-3","Mid Spring","Routinely Available","Yes","Medium","Yes"
"JUNI","","JUNI","Juglans nigra","black walnut","NA (L48, CAN)","Dicot","Spring","Yellow","Green","Brown","Single Stem","Rapid","35","100","Moderate","Erect","Slight","No","Yes","No","Low","High","4.6","8.2","40","Intolerant","-28","Late Spring","Routinely Available","Yes","High","Yes"
"JURE80","","JURE80","Juglans regia","English walnut","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Single Stem","Rapid","25","60","Moderate","Rounded","None","No","Yes","Yes","Medium","High","6.0","7.5","40","Intolerant","-8","Mid Spring","Routinely Available","Yes","High","Yes"
"JUAC","","JUAC","Juncus acuminatus","tapertip rush","NA (L48, CAN), HI","Monocot","Spring and Summer","Purple","Green","Brown","Bunch","Moderate","","3.0","Moderate","Erect","None","Yes","Yes","Yes","Low","High","4.4","7.2","12","Intermediate","-33","Spring","Routinely Available","No","Medium","No"
"JUARL","","JUARL","Juncus arcticus ssp. littoralis","mountain rush","NA (L48, AK, CAN, GL, SPM)","Monocot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUARL","JUBA","JUBA","Juncus balticus","","","","Spring and Summer","Brown","Green","Brown","Rhizomatous","Rapid","","4.0","Long","Erect","None","No","Yes","Yes","Low","High","6.0","9.0","20","Intermediate","-43","Early Summer","Routinely Available","No","Medium","No"
"JUAR4","","JUAR4","Juncus articulatus","jointleaf rush","NA (L48, AK, CAN, SPM)","Monocot","Spring and Summer","Purple","Green","Brown","Rhizomatous","Moderate","","2.0","Moderate","Erect","None","Yes","Yes","Yes","Low","High","4.8","7.5","8","Intermediate","-28","Early Summer","Routinely Available","No","Low","No"
"JUBR","","JUBR","Juncus brachycarpus","whiteroot rush","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Moderate","","3.0","Long","Erect","None","Yes","Yes","Yes","Low","Medium","4.5","6.7","8","Intermediate","-23","Late Spring","Routinely Available","No","Medium","No"
"JUBU","","JUBU","Juncus bufonius","toad rush","NA (L48, AK, CAN, SPM), HI","Monocot","Spring, Summer, Fall","Green","Green","Brown","Bunch","Rapid","","1.0","","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","4.6","7.6","6","Intolerant","47","Spring","Routinely Available","No","High","No"
"JUCA3","","JUCA3","Juncus canadensis","Canadian rush","NA (L48, CAN, SPM)","Monocot","Spring, Summer, Fall","Green","Green","Brown","Bunch","Rapid","","3.2","Long","Erect","None","Yes","Yes","Yes","None","Medium","4.5","5.9","12","Intermediate","-33","Mid Summer","Routinely Available","No","Medium","No"
"JUCO2","","JUCO2","Juncus confusus","Colorado rush","NA (L48, CAN)","Monocot","Spring and Summer","Brown","Green","Brown","Bunch","Moderate","","1.5","Moderate","Erect","None","Yes","Yes","Yes","Low","High","6.0","8.0","10","Intermediate","-38","Late Summer","Routinely Available","No","Low","No"
"JUDI","","JUDI","Juncus dichotomus","forked rush","NA (L48), PR","Monocot","Spring, Summer, Fall","Green","Red","Brown","Bunch","Moderate","","2.9","Moderate","Erect","None","Yes","Yes","No","Low","Medium","4.5","6.5","8","Intermediate","12","Early Summer","Routinely Available","No","Medium","No"
"JUDR","","JUDR","Juncus drummondii","Drummond's rush","NA (L48, AK, CAN)","Monocot","Summer","Brown","Green","White","Bunch","Slow","","1.5","Long","Erect","None","Yes","Yes","No","Low","Medium","5.4","7.0","14","Intermediate","-38","Summer","Routinely Available","No","Medium","No"
"JUEF","","JUEF","Juncus effusus","common rush","NA (L48, AK, CAN, SPM), HI, PR","Monocot","Spring","Brown","Dark Green","Yellow","Bunch","Moderate","","6.6","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.5","8.8","24","Intolerant","-38","Summer","Routinely Available","No","High","No"
"JUEN","","JUEN","Juncus ensifolius","swordleaf rush","NA (L48, AK, CAN), HI","Monocot","Summer","Purple","Green","Brown","Rhizomatous","Moderate","","2.0","Moderate","Erect","None","Yes","Yes","Yes","Low","High","6.0","8.0","11","Intermediate","-38","Summer","Routinely Available","No","Low","No"
"JUIN2","","JUIN2","Juncus interior","inland rush","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Moderate","","3.0","Moderate","Erect","None","Yes","Yes","Yes","Low","Medium","5.7","7.0","10","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"JULO","","JULO","Juncus longistylis","longstyle rush","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Moderate","","1.8","Moderate","Erect","None","Yes","Yes","Yes","Low","High","6.0","8.0","10","Intermediate","-38","Early Summer","Routinely Available","No","Low","No"
"JUMA4","","JUMA4","Juncus marginatus","grassleaf rush","NA (L48, CAN)","Monocot","Spring and Summer","Brown","Green","Brown","Rhizomatous","Moderate","","2.0","Long","Erect","None","Yes","Yes","No","Low","Medium","5.5","6.8","8","Intermediate","-23","Late Spring","Routinely Available","No","Medium","No"
"JUME3","","JUME3","Juncus mertensianus","Mertens' rush","NA (L48, AK, CAN)","Monocot","Spring and Summer","Purple","Green","Brown","Rhizomatous","Moderate","","0.9","Moderate","Erect","None","Yes","Yes","No","Low","High","6.0","8.0","8","Intermediate","-33","Late Spring","Routinely Available","No","Low","No"
"JUME4","","JUME4","Juncus mexicanus","Mexican rush","NA (L48)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Moderate","","0.8","Moderate","Erect","None","No","Yes","Yes","Low","Medium","6.2","8.2","8","Intolerant","-18","Spring","Routinely Available","No","Low","No"
"JUNE","","JUNE","Juncus nevadensis","Sierra rush","NA (L48, CAN)","Monocot","Spring and Summer","Brown","Green","Brown","Rhizomatous","Moderate","","2.0","Moderate","Erect","None","Yes","Yes","No","Low","High","6.0","7.8","12","Intermediate","-33","Late Spring","Routinely Available","No","Low","No"
"JUNO2","","JUNO2","Juncus nodosus","knotted rush","NA (L48, AK, CAN)","Monocot","Spring","Green","Dark Green","Brown","Single Stem","Moderate","","2.0","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","4.0","7.5","18","Intolerant","-28","Summer","Routinely Available","No","Medium","No"
"JURO","","JURO","Juncus roemerianus","needlegrass rush","NA (L48)","Monocot","Spring","Green","Dark Green","Brown","Bunch","Moderate","","4.9","Long","Erect","None","No","Yes","Yes","None","High","4.0","7.0","14","Intolerant","17","Spring","Routinely Available","No","Medium","No"
"JUSC","","JUSC","Juncus scirpoides","needlepod rush","NA (L48)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Moderate","","3.0","Long","Erect","None","Yes","Yes","No","None","High","5.6","6.8","10","Tolerant","-3","Late Spring","Routinely Available","No","Medium","No"
"JUTE","","JUTE","Juncus tenuis","poverty rush","NA (L48, AK, CAN, SPM), HI, PR","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","1.5","Moderate","Erect","None","Yes","Yes","Yes","Low","Medium","4.5","7.0","6","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"JUTO","","JUTO","Juncus torreyi","Torrey's rush","NA (L48, CAN)","Monocot","Summer","Green","Green","Brown","Rhizomatous","Moderate","","3.1","Long","Erect","None","Yes","Yes","No","Low","Medium","4.5","6.5","10","Intolerant","-38","Mid Summer","Routinely Available","No","Medium","No"
"JUTR4","","JUTR4","Juncus triglumis","three-hulled rush","NA (L48, AK, CAN, GL)","Monocot","Spring and Summer","White","Green","Brown","Bunch","Moderate","","0.8","Moderate","Erect","None","No","Yes","No","Low","High","6.0","7.5","8","Intolerant","-23","Summer","Routinely Available","No","Low","No"
"JUCH4","","JUCH4","Juniperus chinensis","Chinese juniper","","Gymnosperm","Spring and Summer","White","Green","Brown","Multiple Stem","Rapid","12","60","Moderate","Decumbent","None","Yes","Yes","Yes","Medium","Medium","4.5","7.5","14","Intolerant","-33","Spring","Routinely Available","Yes","Low","No"
"JUCO6","","JUCO6","Juniperus communis","common juniper","NA (L48, AK, CAN, GL, SPM)","Gymnosperm","Spring and Summer","Yellow","Green","Blue","Single Stem","Slow","5","10","Long","Semi-Erect","None","Yes","Yes","Yes","High","Low","5.5","8.0","14","Intolerant","-43","Mid Spring","Routinely Available","Yes","Low","No"
"JUCO12","","JUCO12","Juniperus conferta","shore juniper","","Gymnosperm","Spring and Summer","White","Gray-Green","Black","Thicket Forming","Moderate","2","2.0","Moderate","Prostrate","None","Yes","Yes","No","Medium","Medium","5.0","7.8","14","Intolerant","-13","Late Spring","Routinely Available","Yes","Low","No"
"JUHO2","","JUHO2","Juniperus horizontalis","creeping juniper","NA (L48, AK, CAN, SPM)","Gymnosperm","Spring and Summer","","Green","Brown","Thicket Forming","Moderate","1","4.0","Moderate","Prostrate","None","No","Yes","No","Low","High","5.5","7.8","12","Intolerant","-43","Late Spring","Routinely Available","Yes","Low","No"
"JUOC","","JUOC","Juniperus occidentalis","western juniper","NA (L48)","Gymnosperm","Spring and Summer","Yellow","Green","Blue","Single Stem","Slow","25","33","Long","Erect","Slight","Yes","Yes","No","High","Low","6.0","8.5","12","Intolerant","-33","Late Spring","Routinely Available","Yes","Low","No"
"JUOS","","JUOS","Juniperus osteosperma","Utah juniper","NA (L48)","Gymnosperm","Spring and Summer","Yellow","Green","Blue","Single Stem","Slow","25","26","Long","Erect","None","Yes","Yes","No","High","Low","6.5","8.2","20","Intolerant","-28","Early Spring","Routinely Available","Yes","Low","No"
"JUSC2","","JUSC2","Juniperus scopulorum","Rocky Mountain juniper","NA (L48, CAN)","Gymnosperm","Spring and Summer","Yellow","Green","Blue","Stoloniferous","Slow","25","50","Long","Erect","None","Yes","Yes","No","High","Low","5.0","8.5","20","Intolerant","-38","Early Spring","Routinely Available","Yes","Low","No"
"JUVI","","JUVI","Juniperus virginiana","eastern redcedar","NA (L48, CAN)","Gymnosperm","Spring and Summer","Green","Green","White","Single Stem","Slow","25","50","Moderate","Conical","Slight","Yes","Yes","Yes","High","Low","4.7","8.0","20","Intermediate","-43","Late Spring","Routinely Available","Yes","Low","No"
"JUVIS","","JUVIS","Juniperus virginiana var. silicicola","southern redcedar","NA (L48)","Gymnosperm","Spring and Summer","Yellow","Green","Blue","Single Stem","Slow","30","65","Long","Erect","None","Yes","Yes","No","Low","Medium","6.0","7.0","18","Intolerant","-8","Late Winter","Routinely Available","Yes","Low","No"
"JUAM","","JUAM","Justicia americana","American water-willow","NA (L48, CAN)","Dicot","Spring","White","Dark Green","Brown","Rhizomatous","Rapid","","2.5","","Erect","None","Yes","Yes","Yes","Low","Medium","5.4","7.6","10","Tolerant","-28","Late Spring","Routinely Available","No","High","No"
"KALA","","KALA","Kalmia latifolia","mountain laurel","NA (L48)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Slow","5","6.0","Long","Semi-Erect","None","Yes","Yes","No","High","Low","4.5","5.5","24","Tolerant","-23","Mid Spring","Routinely Available","Yes","Low","No"
"KOMA","","KOMA","Koeleria macrantha","prairie Junegrass","NA (L48, AK, CAN), HI","Monocot","Spring and Fall","Yellow","Green","Brown","Bunch","Rapid","","1.5","Short","Erect","None","Yes","Yes","No","High","High","6.0","8.0","20","Tolerant","-38","Late Spring","Routinely Available","No","Low","No"
"KOPA","","KOPA","Koelreuteria paniculata","goldenrain tree","NA (L48)","Dicot","Spring","Yellow","Green","Brown","Single Stem","Slow","30","45","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","4.5","8.0","16","Intolerant","-28","Late Spring","Routinely Available","Yes","High","No"
"KRLA2","","KRLA2","Krascheninnikovia lanata","winterfat","NA (L48, CAN)","Dicot","Summer","Yellow","White-Gray","White","Multiple Stem","Rapid","1","2.0","Long","Erect","None","Yes","Yes","Yes","High","Low","6.6","8.5","12","Intolerant","-52","Spring","Routinely Available","Yes","High","No"
"KUST","","KUST","Kummerowia stipulacea","Korean clover","NA (L48)","Dicot","Spring and Summer","Purple","Green","Black","Multiple Stem","Rapid","","1.5","","Decumbent","Slight","Yes","Yes","Yes","Medium","Low","5.5","7.5","8","Intolerant","6","Late Spring","Routinely Available","No","High","No"
"KUST2","","KUST2","Kummerowia striata","Japanese clover","NA (L48)","Dicot","Spring and Summer","Purple","Green","Black","Multiple Stem","Rapid","","1.3","","Decumbent","None","Yes","Yes","Yes","Medium","Low","4.9","7.3","8","Intolerant","8","Early Spring","Routinely Available","No","High","No"
"LAPU6","","LAPU6","Lablab purpureus","hyacinthbean","NA (L48, CAN), HI, PR, VI","Dicot","Year Round","White","Green","Brown","Single Stem","Rapid","","4.0","Short","Decumbent","Slight","Yes","Yes","Yes","High","Medium","4.5","7.8","12","Intermediate","31","Spring","Routinely Available","Yes","Medium","Yes"
"LACA5","","LACA5","Lachnanthes caroliana","Carolina redroot","NA (L48, CAN)","Monocot","Summer","White","Gray-Green","Blue","Rhizomatous","Moderate","","3.0","Long","Erect","None","Yes","Yes","Yes","Low","Medium","4.0","7.4","12","Intolerant","13","Late Spring","Routinely Available","No","Medium","No"
"LAIN","","LAIN","Lagerstroemia indica","crapemyrtle","NA (L48), PR","Dicot","Spring","Purple","Green","Brown","Multiple Stem","Moderate","25","25","Moderate","Erect","None","Yes","Yes","No","Medium","Low","5.0","7.5","32","Intolerant","-3","Summer","Routinely Available","Yes","Low","No"
"LADE2","","LADE2","Larix decidua","European larch","NA (L48, CAN)","Gymnosperm","Spring and Summer","Red","Yellow-Green","Brown","Single Stem","Moderate","20","99","Long","Erect","None","Yes","Yes","No","None","Medium","6.0","7.0","40","Intolerant","-38","Mid Spring","Routinely Available","Yes","Medium","No"
"LAKA2","","LAKA2","Larix kaempferi","Japanese larch","NA (L48, CAN)","Gymnosperm","Spring and Summer","Red","Dark Green","Brown","Single Stem","Rapid","20","98","Long","Erect","None","Yes","Yes","No","None","Medium","6.0","7.5","20","Intolerant","-38","Spring","Routinely Available","Yes","High","No"
"LALA","","LALA","Larix laricina","tamarack","NA (L48, AK, CAN, SPM)","Gymnosperm","Spring and Summer","Red","Dark Green","Brown","Single Stem","Rapid","20","80","Moderate","Erect","None","Yes","Yes","No","Low","Medium","5.5","6.5","12","Intolerant","-79","Mid Spring","Routinely Available","Yes","Medium","No"
"LEGL","","LEGL","Ledum glandulosum","western Labrador tea","NA (L48, CAN)","Dicot","Spring and Summer","White","Yellow-Green","Brown","Multiple Stem","Slow","4","4.5","Long","Semi-Erect","None","No","Yes","Yes","None","Medium","4.6","7.0","18","Tolerant","-28","Early Spring","Routinely Available","Yes","Low","No"
"LEGR","","LEGR","Ledum groenlandicum","bog Labrador tea","NA (L48, AK, CAN, GL, SPM)","Dicot","Spring","White","Gray-Green","","Multiple Stem","Slow","2","3.0","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.0","7.0","18","Intermediate","-33","Late Spring","Routinely Available","Yes","Medium","No"
"LEOR","","LEOR","Leersia oryzoides","rice cutgrass","NA (L48, CAN)","Monocot","Summer","Green","Dark Green","Red","Rhizomatous","Moderate","","4.9","Moderate","Erect","None","Yes","Yes","Yes","Low","High","5.1","8.8","14","Intolerant","-33","Indeterminate","Routinely Available","No","Medium","No"
"LEVI2","","LEVI2","Leersia virginica","whitegrass","NA (L48, CAN)","Monocot","Spring","Green","Green","Red","Rhizomatous","Moderate","","3.9","Short","Erect","None","Yes","Yes","No","None","Medium","4.5","8.5","4","Tolerant","-43","Late Summer","Routinely Available","No","Medium","No"
"LEMI3","","LEMI3","Lemna minor","common duckweed","NA (L48, AK, CAN)","Monocot","Summer","Green","Green","","Single Crown","Rapid","","","Short","Decumbent","None","No","No","No","None","High","4.1","8.8","0","Intolerant","-38","Summer","Routinely Available","No","High","No"
"LETR","","LETR","Lemna trisulca","star duckweed","NA (L48, AK, CAN)","Monocot","Summer","Green","Green","Green","Stoloniferous","Rapid","","0.3","Short","Decumbent","None","No","No","No","None","High","5.7","7.0","0","Intolerant","-38","Late Spring","Routinely Available","No","","No"
"LEDU","","LEDU","Leptochloa dubia","green sprangletop","NA (L48)","Monocot","Spring and Summer","Yellow","Green","Brown","Bunch","Rapid","","3.0","Short","Erect","None","Yes","Yes","Yes","High","Medium","6.0","8.0","14","Intolerant","-13","Mid Spring","Routinely Available","No","High","No"
"LELE10","","LELE10","Leucaena leucocephala","white leadtree","NA (L48), VI","Dicot","Spring and Summer","White","Green","Brown","Single Stem","Rapid","15","20","Moderate","Erect","Moderate","Yes","Yes","Yes","High","Low","5.0","8.7","4","Intolerant","25","Indeterminate","Routinely Available","Yes","High","Yes"
"LEAX","","LEAX","Leucothoe axillaris","coastal doghobble","NA (L48)","Dicot","Spring","White","Green","Brown","Multiple Stem","Slow","6","6.5","Long","Erect","None","Yes","Yes","Yes","Low","Low","3.5","7.0","15","Tolerant","2","Fall","Routinely Available","Yes","High","No"
"LEAN3","","LEAN3","Leymus angustus","Altai wildrye","NA (CAN)","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Bunch","Rapid","","3.0","Long","Erect","None","Yes","Yes","Yes","High","High","5.9","9.0","16","Intolerant","-43","Early Spring","Routinely Available","No","High","No"
"LEAR11","","LEAR11","Leymus arenarius","sand ryegrass","NA (L48, CAN, GL)","Monocot","Spring, Summer, Fall","Yellow","Dark Green","Brown","Rhizomatous","Rapid","","3.0","Long","Semi-Erect","None","Yes","Yes","No","Medium","Medium","5.7","6.5","16","Intolerant","7","Mid Spring","Routinely Available","No","Low","No"
"LECI4","","LECI4","Leymus cinereus","basin wildrye","NA (L48, CAN)","Monocot","Spring","Yellow","Green","Brown","Bunch","Moderate","","5.0","Long","Erect","None","Yes","Yes","Yes","Medium","High","5.6","9.0","20","Intolerant","-43","Early Spring","Routinely Available","No","Medium","No"
"LEMOM2","","LEMOM2","Leymus mollis ssp. mollis","American dunegrass","NA (L48, AK, CAN, GL, SPM)","Monocot","Spring and Fall","Yellow","Green","Brown","Rhizomatous","Rapid","","4.0","Long","Erect","None","Yes","No","No","High","Medium","6.0","8.0","16","Intolerant","7","Late Spring","Routinely Available","No","Low","No"
"LERA5","","LERA5","Leymus racemosus","mammoth wildrye","NA (L48)","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Rapid","","3.0","Moderate","Erect","None","Yes","Yes","No","High","Medium","6.0","9.0","16","Intolerant","-33","Late Spring","Routinely Available","No","High","No"
"LETR5","","LETR5","Leymus triticoides","beardless wildrye","NA (L48, CAN), HI","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Rhizomatous","Rapid","","3.0","Long","Erect","None","No","Yes","Yes","High","High","6.0","9.0","10","Intolerant","-43","Late Spring","Routinely Available","No","Low","No"
"LIPU","","LIPU","Liatris punctata","dotted blazing star","NA (L48, CAN)","Dicot","Summer","Purple","Green","Brown","Multiple Stem","Slow","","2.0","Moderate","Erect","None","Yes","Yes","Yes","High","Medium","6.0","7.8","14","Intolerant","-43","Mid Summer","Routinely Available","Yes","Medium","No"
"LIPY","","LIPY","Liatris pycnostachya","prairie blazing star","NA (L48)","Dicot","Summer","Purple","Green","Brown","Multiple Stem","Moderate","","3.5","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","6.0","8.5","14","Intolerant","-33","Mid Summer","Routinely Available","No","Low","No"
"LISP","","LISP","Liatris spicata","dense blazing star","NA (L48, CAN)","Dicot","Summer","Purple","Green","Brown","Rhizomatous","Slow","","4.5","Moderate","Erect","None","No","Yes","Yes","Low","Medium","5.6","7.5","14","Intermediate","-18","Late Summer","Routinely Available","Yes","Low","No"
"LIAM","","LIAM","Ligustrum amurense","Amur privet","NA (L48)","Dicot","Spring","White","Green","Black","Multiple Stem","Moderate","12","12","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.8","7.5","20","Intermediate","-38","Late Spring","Routinely Available","Yes","Medium","No"
"LIJA","","LIJA","Ligustrum japonicum","Japanese privet","NA (L48), PR","Dicot","Spring and Summer","White","Dark Green","Black","Multiple Stem","Rapid","10","10","Moderate","Erect","Slight","Yes","Yes","Yes","Medium","Low","5.5","6.9","18","Tolerant","-13","Summer","Routinely Available","Yes","High","No"
"LIOV","","LIOV","Ligustrum ovalifolium","California privet","NA (L48, CAN), PR","Dicot","Spring and Summer","White","Green","Black","Multiple Stem","Rapid","16","16","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.9","7.7","20","Intolerant","-3","Early Summer","Routinely Available","Yes","Medium","No"
