"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"CASQ2","","CASQ2","Carex squarrosa","squarrose sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","3.0","Moderate","Erect","None","No","Yes","Yes","None","Medium","5.6","7.3","8","Tolerant","-28","Mid Spring","Routinely Available","No","Low","No"
"CAST5","","CAST5","Carex stipata","awlfruit sedge","NA (L48, AK, CAN, SPM)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","3.5","Moderate","Erect","None","No","Yes","Yes","Low","Medium","4.9","7.9","8","Tolerant","-38","Mid Spring","Routinely Available","No","Low","No"
"CAST8","","CAST8","Carex stricta","upright sedge","NA (L48, CAN)","Monocot","Spring","Green","Green","Yellow","Bunch","Moderate","","4.2","Long","Erect","None","Yes","Yes","Yes","Low","Medium","3.5","7.0","18","Tolerant","-38","Spring","Routinely Available","No","Medium","No"
"CATO4","","CATO4","Carex torta","twisted sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Slow","","2.8","Long","Erect","None","Yes","Yes","No","Low","Medium","5.0","7.0","8","Tolerant","-33","Late Spring","Routinely Available","No","Low","No"
"CATR7","","CATR7","Carex tribuloides","blunt broom sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Slow","","3.0","Moderate","Erect","None","No","Yes","Yes","Low","Medium","4.8","7.0","8","Tolerant","-28","Late Spring","Routinely Available","No","Low","No"
"CATR8","","CATR8","Carex trichocarpa","hairyfruit sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Rapid","","3.5","Long","Erect","None","No","Yes","Yes","None","High","5.7","7.0","10","Intermediate","-33","Late Spring","Routinely Available","No","Low","No"
"CATY","","CATY","Carex typhina","cattail sedge","NA (L48, CAN)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Moderate","","2.0","Long","Erect","None","No","Yes","Yes","None","High","5.7","7.0","8","Tolerant","-28","Mid Spring","Routinely Available","No","Low","No"
"CAVE6","","CAVE6","Carex vesicaria","blister sedge","NA (L48, SPM)","Monocot","Spring and Summer","Green","Green","Brown","Rhizomatous","Moderate","","3.0","Moderate","Erect","None","Yes","Yes","Yes","Low","High","4.5","7.5","16","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"CAVI5","","CAVI5","Carex viridula","little green sedge","NA (L48, AK, CAN, GL, SPM)","Monocot","Spring and Summer","Green","Green","Brown","Bunch","Moderate","","1.5","Moderate","Erect","None","No","Yes","Yes","Low","High","4.5","7.5","10","Intolerant","-38","Early Summer","Routinely Available","No","Low","No"
"CAVU2","","CAVU2","Carex vulpinoidea","fox sedge","NA (L48, CAN, SPM)","Monocot","Spring","Green","Green","Yellow","Bunch","Moderate","","3.2","Long","Erect","None","No","Yes","Yes","Low","Medium","6.8","8.9","16","Intermediate","-38","Spring","Routinely Available","No","Medium","No"
"CAPA23","","CAPA23","Carica papaya","papaya","NA (L48), HI, PR, VI","Dicot","Year Round","White","White-Gray","Orange","Single Stem","Rapid","","20","Short","Erect","None","No","Yes","Yes","Low","High","5.0","8.0","40","Intolerant","32","Indeterminate","Routinely Available","Yes","","No"
"CAPA53","","CAPA53","Carphephorus paniculatus","hairy chaffhead","NA (L48)","Dicot","Spring and Summer","Purple","Green","Black","Single Stem","Rapid","","3.0","Moderate","Erect","None","No","Yes","Yes","Medium","Low","5.8","7.0","12","Tolerant","7","Late Summer","Routinely Available","No","Low","No"
"CACA18","","CACA18","Carpinus caroliniana","American hornbeam","NA (L48, CAN)","Dicot","Spring and Summer","Orange","Green","Brown","Multiple Stem","Slow","18","30","Short","Erect","None","Yes","Yes","No","Low","Medium","4.0","7.4","20","Tolerant","-34","Mid Spring","Routinely Available","Yes","Low","No"
"CAAQ2","","CAAQ2","Carya aquatica","water hickory","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","30","85","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","4.0","7.3","48","Intermediate","-18","Mid Spring","Routinely Available","Yes","Medium","No"
"CACO15","","CACO15","Carya cordiformis","bitternut hickory","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Brown","Single Stem","Slow","30","75","Moderate","Erect","None","Yes","Yes","Yes","High","Medium","4.8","7.4","50","Intolerant","-47","Mid Spring","Routinely Available","Yes","Low","Yes"
"CAIL2","","CAIL2","Carya illinoinensis","pecan","NA (L48)","Dicot","Spring and Summer","Yellow","Yellow-Green","Brown","Single Stem","Slow","35","120","Long","Erect","None","Yes","Yes","Yes","Low","High","4.5","7.5","32","Intolerant","-21","Early Spring","Routinely Available","Yes","Medium","Yes"
